"Program","Algorithm","Approach","Exam_Score","Inspect_1","Inspect_3","Inspect_5","Inspect_10"
"P09","Ochiai","Predicate-Based",0.269294067458199,FALSE,TRUE,TRUE,TRUE
"P10","Ochiai","Predicate-Based",0.376128978485942,FALSE,TRUE,TRUE,TRUE
"P11","Ochiai","Predicate-Based",0.289095083049223,FALSE,FALSE,TRUE,TRUE
"P12","Ochiai","Predicate-Based",0.264392743067357,FALSE,FALSE,FALSE,FALSE
"P01","Tarantula","Predicate-Based",0.162648359219931,FALSE,TRUE,TRUE,FALSE
"P02","Tarantula","Predicate-Based",0.141779601358949,TRUE,FALSE,FALSE,TRUE
"P03","Tarantula","Predicate-Based",0.146970491159503,TRUE,FALSE,TRUE,TRUE
"P04","Tarantula","Predicate-Based",0.278309221011421,FALSE,FALSE,FALSE,TRUE
"P05","Tarantula","Predicate-Based",0.105345256558226,FALSE,FALSE,TRUE,TRUE
"P06","Tarantula","Predicate-Based",0.210740547667963,TRUE,FALSE,FALSE,TRUE
"P07","Tarantula","Predicate-Based",0.264429890136453,FALSE,FALSE,TRUE,TRUE
"P08","Tarantula","Predicate-Based",0.250950079226474,FALSE,FALSE,FALSE,TRUE
"P09","Tarantula","Predicate-Based",0.321486392851639,FALSE,TRUE,FALSE,TRUE
"P10","Tarantula","Predicate-Based",0.286456038924854,FALSE,TRUE,TRUE,FALSE
"P11","Tarantula","Predicate-Based",0.112885391862085,TRUE,FALSE,FALSE,TRUE
"P12","Tarantula","Predicate-Based",0.228886653240559,TRUE,TRUE,TRUE,FALSE
"P01","DStar","Hybrid",0.306141243982548,FALSE,FALSE,FALSE,TRUE
"P02","DStar","Hybrid",0.287637625263254,FALSE,FALSE,TRUE,FALSE
"P03","DStar","Hybrid",0.214652306371916,TRUE,FALSE,TRUE,TRUE
"P04","DStar","Hybrid",0.0750558294617974,TRUE,FALSE,TRUE,FALSE
"P05","DStar","Hybrid",0.463046188556035,FALSE,FALSE,TRUE,TRUE
"P06","DStar","Hybrid",0.166419976722152,FALSE,FALSE,TRUE,TRUE
"P07","DStar","Hybrid",0.36287450483898,FALSE,FALSE,TRUE,TRUE
"P08","DStar","Hybrid",0.176558353032003,FALSE,TRUE,TRUE,TRUE
"P09","DStar","Hybrid",0.310260789933286,TRUE,FALSE,TRUE,TRUE
"P10","DStar","Hybrid",0.253529501711643,FALSE,TRUE,FALSE,TRUE
"P11","DStar","Hybrid",0.117431943105446,FALSE,TRUE,FALSE,FALSE
"P12","DStar","Hybrid",0.156642842578874,FALSE,FALSE,TRUE,TRUE
"P01","GenProg","Hybrid",0.159804339099134,TRUE,FALSE,TRUE,FALSE
"P02","GenProg","Hybrid",0.256635967549576,FALSE,TRUE,TRUE,TRUE
"P03","GenProg","Hybrid",0.209081749679117,FALSE,TRUE,FALSE,TRUE
"P04","GenProg","Hybrid",0.378718193103172,TRUE,TRUE,TRUE,FALSE
"P05","GenProg","Hybrid",0.607474508316928,FALSE,TRUE,FALSE,TRUE
"P06","GenProg","Hybrid",0.14367053161073,FALSE,FALSE,TRUE,TRUE
"P07","GenProg","Hybrid",0.370837609412606,FALSE,FALSE,FALSE,TRUE
"P08","GenProg","Hybrid",0.435419734982442,TRUE,TRUE,TRUE,FALSE
"P09","GenProg","Hybrid",0.342757429154861,TRUE,FALSE,TRUE,FALSE
"P10","GenProg","Hybrid",0.136668466966722,TRUE,FALSE,FALSE,TRUE
"P11","GenProg","Hybrid",0.237773770406511,FALSE,FALSE,FALSE,FALSE
"P12","GenProg","Hybrid",0.255827962626267,FALSE,FALSE,TRUE,TRUE
"P01","Jaccard","Hybrid",0.372424454904899,FALSE,FALSE,FALSE,FALSE
"P02","Jaccard","Hybrid",0.234618205921077,FALSE,FALSE,TRUE,FALSE
"P03","Jaccard","Hybrid",0.423473209625459,FALSE,FALSE,TRUE,TRUE
"P04","Jaccard","Hybrid",0.266235230534519,FALSE,FALSE,FALSE,TRUE
"P05","Jaccard","Hybrid",0.466005556789607,TRUE,TRUE,TRUE,TRUE
"P06","Jaccard","Hybrid",0.181957199929818,FALSE,TRUE,TRUE,FALSE
"P07","Jaccard","Hybrid",0.164455696875872,TRUE,TRUE,FALSE,FALSE
"P08","Jaccard","Hybrid",0.180767085307267,FALSE,TRUE,FALSE,TRUE
"P09","Jaccard","Hybrid",0.315168175277731,FALSE,TRUE,TRUE,TRUE
"P10","Jaccard","Hybrid",0.339272738403108,FALSE,TRUE,FALSE,TRUE
"P11","Jaccard","Hybrid",0.197794165132862,FALSE,TRUE,TRUE,TRUE
"P12","Jaccard","Hybrid",0.334896620163205,FALSE,TRUE,TRUE,TRUE
"P01","Ochiai","Hybrid",0.361530367216508,FALSE,FALSE,FALSE,TRUE
"P02","Ochiai","Hybrid",0.203750517557276,FALSE,TRUE,TRUE,FALSE
"P03","Ochiai","Hybrid",0.281472539621847,FALSE,TRUE,FALSE,TRUE
"P04","Ochiai","Hybrid",0.286544821771024,FALSE,TRUE,FALSE,TRUE
"P05","Ochiai","Hybrid",0.187396143015989,FALSE,FALSE,TRUE,TRUE
"P06","Ochiai","Hybrid",0.196978798341913,TRUE,TRUE,FALSE,TRUE
"P07","Ochiai","Hybrid",0.303481701248227,TRUE,FALSE,TRUE,TRUE
"P08","Ochiai","Hybrid",0.322723928313741,TRUE,TRUE,FALSE,TRUE
"P09","Ochiai","Hybrid",0.265778927996127,FALSE,TRUE,TRUE,TRUE
"P10","Ochiai","Hybrid",0.316549191236235,FALSE,TRUE,TRUE,TRUE
"P11","Ochiai","Hybrid",0.183106900574132,TRUE,FALSE,FALSE,TRUE
"P12","Ochiai","Hybrid",0.476674346755257,FALSE,FALSE,TRUE,FALSE
"P01","Tarantula","Hybrid",0.238128916822282,FALSE,FALSE,FALSE,TRUE
"P02","Tarantula","Hybrid",0.214843949049262,FALSE,FALSE,FALSE,FALSE
"P03","Tarantula","Hybrid",0.265896880704189,FALSE,TRUE,TRUE,FALSE
"P04","Tarantula","Hybrid",0.239139792166273,FALSE,TRUE,TRUE,TRUE
"P05","Tarantula","Hybrid",0.425680633249348,FALSE,FALSE,TRUE,FALSE
"P06","Tarantula","Hybrid",0.248175157896905,TRUE,FALSE,FALSE,FALSE
"P07","Tarantula","Hybrid",0.38843988926646,FALSE,TRUE,FALSE,FALSE
"P08","Tarantula","Hybrid",0.201736325935169,FALSE,FALSE,FALSE,TRUE
"P09","Tarantula","Hybrid",0.364410436790661,FALSE,FALSE,FALSE,TRUE
"P10","Tarantula","Hybrid",0.182862915188084,FALSE,FALSE,TRUE,FALSE
"P11","Tarantula","Hybrid",0.263761127422738,FALSE,FALSE,FALSE,FALSE
"P12","Tarantula","Hybrid",0.206528840091865,FALSE,FALSE,FALSE,TRUE
